Root	root
Patulibacter	genus
Patulibacteraceae	family
Paucibacter	genus
Paucimonas	genus
Paucisalibacillus	genus
Pectinatus	genus
Pectobacterium	genus
Pediococcus	genus
Pedobacter	genus
Pedomicrobium	genus
Pelagibaca	genus
Pelistega	genus
Pelobacter	genus
Pelodictyon	genus
Pelomonas	genus
Pelospora	genus
Pelotomaculum	genus
Peptococcaceae	family
Peptococcaceae 1	subfamily
Peptococcaceae 2	subfamily
Peptococcus	genus
Peptoniphilus	genus
Peptostreptococcus	genus
Peredibacter	genus
Persephonella	genus
Persicivirga	genus
Persicobacter	genus
Petrimonas	genus
Petrobacter	genus
Petrotoga	genus
Phaeobacter	genus
Phaeospirillum	genus
Phenylobacterium	genus
Phlomobacter	genus
Phocoenobacter	genus
Photobacterium	genus
Photorhabdus	genus
Phyllobacteriaceae	family
Phyllobacterium	genus
Phytoplasma	genus
Pibocella	genus
Picrophilaceae	family
Picrophilus	genus
Pigmentiphaga	genus
Pilimelia	genus
Pirellula	genus
Piscirickettsia	genus
Piscirickettsiaceae	family
Planctomyces	genus
Planctomycetaceae	family
Planctomycetacia	class
Planctomycetales	order
Planctomycetes	phylum
Planifilum	genus
Planobispora	genus
Planococcaceae	family
Planococcus	genus
Planomicrobium	genus
Planomonospora	genus
Planotetraspora	genus
Plantibacter	genus
Pleomorphomonas	genus
Plesiocystis	genus
Plesiomonas	genus
Polaribacter	genus
Polaromonas	genus
Polyangiaceae	family
Polyangium	genus
Polymorphospora	genus
Polynucleobacter	genus
Pontibacillus	genus
Pontibacter	genus
Porphyrobacter	genus
Porphyromonadaceae	family
Porphyromonas	genus
Pragia	genus
Prauserella	genus
Prevotella	genus
Prevotellaceae	family
Procabacter	genus
Procabacteriaceae	family
Procabacteriales	order
Promicromonospora	genus
Promicromonosporaceae	family
Propionibacteriaceae	family
Propionibacterineae	suborder
Propionibacterium	genus
Propionicicella	genus
Propionicimonas	genus
Propioniferax	genus
Propionigenium	genus
Propionimicrobium	genus
Propionispira	genus
Propionispora	genus
Propionivibrio	genus
Prosthecobacter	genus
Prosthecochloris	genus
Prosthecomicrobium	genus
Proteiniphilum	genus
Proteobacteria	phylum
Proteus	genus
Providencia	genus
Pseudaminobacter	genus
Pseudidiomarina	genus
Pseudoalteromonadaceae	family
Pseudoalteromonas	genus
Pseudobutyrivibrio	genus
Pseudochrobactrum	genus
Pseudomonadaceae	family
Pseudomonadales	order
Pseudomonadales Incertae Sedis	family
Pseudomonas	genus
Pseudonocardia	genus
Pseudonocardiaceae	family
Pseudonocardineae	suborder
Pseudoramibacter	genus
Pseudorhodobacter	genus
Pseudospirillum	genus
Pseudovibrio	genus
Pseudoxanthomonas	genus
Psychrobacter	genus
Psychroflexus	genus
Psychromonadaceae	family
Psychromonas	genus
Psychroserpens	genus
Pullulanibacillus	genus
Pusillimonas	genus
Pyrobaculum	genus
Pyrococcus	genus
Pyrodictiaceae	family
Pyrodictium	genus
Pyrolobus	genus
Quadrisphaera	genus
Quatrionicoccus	genus
Rahnella	genus
Ralstonia	genus
Ramlibacter	genus
Raoultella	genus
Rarobacter	genus
Rarobacteraceae	family
Rathayibacter	genus
Reichenbachiella	genus
Reinekea	genus
Renibacterium	genus
Rhabdochlamydia	genus
Rhabdochromatium	genus
Rheinheimera	genus
Rhizobiaceae	family
Rhizobiales	order
Rhizobium	genus
Rhodanobacter	genus
Rhodobaca	genus
Rhodobacter	genus
Rhodobacteraceae	family
Rhodobacterales	order
Rhodobiaceae	family
Rhodobium	genus
Rhodoblastus	genus
Rhodocista	genus
Rhodococcus	genus
Rhodocyclaceae	family
Rhodocyclales	order
Rhodocyclus	genus
Rhodoferax	genus
Rhodoglobus	genus
Rhodomicrobium	genus
Rhodopila	genus
Rhodoplanes	genus
Rhodopseudomonas	genus
Rhodospira	genus
Rhodospirillaceae	family
Rhodospirillales	order
Rhodospirillum	genus
Rhodothalassium	genus
Rhodothermus	genus
Rhodovarius	genus
Rhodovibrio	genus
Rhodovulum	genus
Rickettsia	genus
Rickettsiaceae	family
Rickettsiales	order
Rickettsiales Incertae Sedis	family
Rickettsiella	genus
Riemerella	genus
Rikenella	genus
Rikenellaceae	family
Robiginitalea	genus
Roseateles	genus
Roseburia	genus
Roseibacterium	genus
Roseibium	genus
Roseicyclus	genus
Roseiflexus	genus
Roseinatronobacter	genus
Roseisalinus	genus
Roseivirga	genus
Roseivivax	genus
Roseobacter	genus
Roseococcus	genus
Roseomonas	genus
Roseospira	genus
Roseospirillum	genus
Roseovarius	genus
Rothia	genus
Rubellimicrobium	genus
Rubrimonas	genus
Rubritalea	genus
Rubritepida	genus
Rubrivivax	genus
Rubrobacter	genus
Rubrobacteraceae	family
Rubrobacterales	order
Rubrobacteridae	subclass
Rubrobacterineae	suborder
Ruegeria	genus
Ruminobacter	genus
Ruminococcus	genus
Runella	genus
SR1	phylum
SR1_genera_incertae_sedis	genus
Saccharibacter	genus
Saccharococcus	genus
Saccharomonospora	genus
Saccharophagus	genus
Saccharopolyspora	genus
Saccharospirillaceae	family
Saccharospirillum	genus
Saccharothrix	genus
Sagittula	genus
Salana	genus
Salegentibacter	genus
Salicola	genus
Salinibacter	genus
Salinibacterium	genus
Salinicoccus	genus
Salinimonas	genus
Salinisphaera	genus
Salinisphaeraceae	family
Salinisphaerales	order
Salinivibrio	genus
Salipiger	genus
Salmonella	genus
Samsonia	genus
Sandaracinobacter	genus
Sandarakinorhabdus	genus
Sandarakinotalea	genus
Sanguibacter	genus
Sanguibacteraceae	family
Saprospira	genus
Saprospiraceae	family
Sarcina	genus
Scardovia	genus
Schineria	genus
Schlegelella	genus
Sebaldella	genus
Sedimentibacter	genus
Sediminicola	genus
Segniliparaceae	family
Segniliparus	genus
Seinonella	genus
Sejongia	genus
Selenihalanaerobacter	genus
Selenomonas	genus
Serinicoccus	genus
Serpulinaceae	family
Serratia	genus
Shewanella	genus
Shewanellaceae	family
Shigella	genus
Shimazuella	genus
Shimia	genus
Shinella	genus
Shuttleworthia	genus
Silanimonas	genus
Silicibacter	genus
Silvimonas	genus
Simkania	genus
Simkaniaceae	family
Simonsiella	genus
Simplicispira	genus
Sinococcus	genus
Sinorhizobium	genus
Skermanella	genus
Skermania	genus
Slackia	genus
Smithella	genus
Sneathia	genus
Sodalis	genus
Soehngenia	genus
Solirubrobacter	genus
Sorangineae	suborder
Sorangium	genus
Sphaerobacter	genus
Sphaerobacteraceae	family
Sphaerobacterales	order
Sphaerobacteridae	subclass
Sphaerobacterineae	suborder
Sphaerotilus	genus
Sphingobacteria	class
Sphingobacteriaceae	family
Sphingobacteriales	order
Sphingobacterium	genus
Sphingobium	genus
Sphingomonadaceae	family
Sphingomonadales	order
Sphingomonas	genus
Sphingopyxis	genus
Sphingosinicella	genus
Spirillaceae	family
Spirilliplanes	genus
Spirillospora	genus
Spirillum	genus
Spirochaeta	genus
Spirochaetaceae	family
Spirochaetales	order
Spirochaetes	phylum,class
Spiroplasma	genus
Spiroplasmataceae	family
Spirosoma	genus
Sporacetigenium	genus
Sporanaerobacter	genus
Sporichthya	genus
Sporichthyaceae	family
Sporobacter	genus
Sporobacterium	genus
Sporocytophaga	genus
Sporohalobacter	genus
Sporolactobacillus	genus
Sporomusa	genus
Sporosarcina	genus
Sporotomaculum	genus
Stackebrandtia	genus
Staleya	genus
Staphylococcus	genus
Staphylothermus	genus
Stappia	genus
Starkeya	genus
Stella	genus
Stenothermobacter	genus
Stenotrophomonas	genus
Sterolibacterium	genus
Stetteria	genus
Stigmatella	genus
Streptacidiphilus	genus
Streptoalloteichus	genus
Streptobacillus	genus
Streptococcaceae	family
Streptococcus	genus
Streptomonospora	genus
Streptomyces	genus
Streptomycetaceae	family
Streptomycineae	suborder
Streptophyta	genus
Streptosporangiaceae	family
Streptosporangineae	suborder
Streptosporangium	genus
Stygiolobus	genus
Subdivision 3	family
Subdivision 3_genera_incertae_sedis	genus
Subdivision 5	family
Subdivision 5_genera_incertae_sedis	genus
Subdoligranulum	genus
Subsaxibacter	genus
Subsaximicrobium	genus
Subtercola	genus
Succiniclasticum	genus
Succinimonas	genus
Succinispira	genus
Succinivibrio	genus
Succinivibrionaceae	family
Sulfitobacter	genus
Sulfobacillus	genus
Sulfolobaceae	family
Sulfolobales	order
Sulfolobus	genus
Sulfophobococcus	genus
Sulfuricurvum	genus
Sulfurihydrogenibium	genus
Sulfurimonas	genus
Sulfurisphaera	genus
Sulfurivirga	genus
Sulfurospirillum	genus
Sulfurovum	genus
Sutterella	genus
Suttonella	genus
Swaminathania	genus
Symbiobacterium	genus
Synergistes	genus
Syntrophaceae	family
Syntrophobacter	genus
Syntrophobacteraceae	family
Syntrophobacterales	order
Syntrophococcus	genus
Syntrophomonadaceae	family
Syntrophomonas	genus
Syntrophospora	genus
Syntrophothermus	genus
Syntrophus	genus
TM7	phylum
TM7_genera_incertae_sedis	genus
Tannerella	genus
Tatlockia	genus
Tatumella	genus
Taylorella	genus
Teichococcus	genus
Telluria	genus
Tenacibaculum	genus
Tenericutes	phylum
Tenuibacillus	genus
Tepidibacter	genus
Tepidicella	genus
Tepidimonas	genus
Tepidiphilus	genus
Terasakiella	genus
Teredinibacter	genus
Terrabacter	genus
Terracoccus	genus
Terrimonas	genus
Tessaracoccus	genus
Tetragenococcus	genus
Tetrasphaera	genus
Tetrathiobacter	genus
Thalassobacillus	genus
Thalassobacter	genus
Thalassobius	genus
Thalassolituus	genus
Thalassomonas	genus
Thalassospira	genus
Thauera	genus
Thermaceae	family
Thermacetogenium	genus
Thermaerobacter	genus
Thermales	order
Thermanaeromonas	genus
Thermanaerovibrio	genus
Thermicanus	genus
Thermincola	genus
Thermithiobacillaceae	family
Thermithiobacillus	genus
Thermoactinomyces	genus
Thermoanaerobacter	genus
Thermoanaerobacterium	genus
Thermobacillus	genus
Thermobifida	genus
Thermobispora	genus
Thermobrachium	genus
Thermochromatium	genus
Thermocladium	genus
Thermococcaceae	family
Thermococcales	order
Thermococci	class
Thermococcus	genus
Thermocrinis	genus
Thermocrispum	genus
Thermodesulfatator	genus
Thermodesulfobacteria	phylum,class
Thermodesulfobacteriaceae	family
Thermodesulfobacteriales	order
Thermodesulfobacterium	genus
Thermodesulfobiaceae	family
Thermodesulfobium	genus
Thermodesulforhabdus	genus
Thermodesulfovibrio	genus
Thermodiscus	genus
Thermofilaceae	family
Thermofilum	genus
Thermohalobacter	genus
Thermoleophilum	genus
Thermomicrobia	phylum,class
Thermomicrobiaceae	family
Thermomicrobiales	order
Thermomicrobium	genus
Thermomonas	genus
Thermomonospora	genus
Thermomonosporaceae	family
Thermonema	genus
Thermoplasma	genus
Thermoplasmata	class
Thermoplasmataceae	family
Thermoplasmatales	order
Thermopolyspora	genus
Thermoproteaceae	family
Thermoproteales	order
Thermoprotei	class
Thermoproteus	genus
Thermosediminibacter	genus
Thermosipho	genus
Thermosphaera	genus
Thermosyntropha	genus
Thermothrix	genus
Thermotoga	genus
Thermotogaceae	family
Thermotogae	phylum,class
Thermotogales	order
Thermovenabulum	genus
Thermovibrio	genus
Thermus	genus
Thioalkalicoccus	genus
Thioalkalimicrobium	genus
Thioalkalispira	genus
Thioalkalivibrio	genus
Thiobaca	genus
Thiobacillus	genus
Thiobacter	genus
Thiocapsa	genus
Thioclava	genus
Thiococcus	genus
Thiocystis	genus
Thioflavicoccus	genus
Thiohalocapsa	genus
Thiolamprovum	genus
Thiomicrospira	genus
Thiomonas	genus
Thioploca	genus
Thioreductor	genus
Thiorhodococcus	genus
Thiorhodospira	genus
Thiorhodovibrio	genus
Thiothrix	genus
Thiotrichaceae	family
Thiotrichales	order
Thiovirga	genus
Thorsellia	genus
Tindallia	genus
Tissierella	genus
Tistrella	genus
Tolumonas	genus
Trabulsiella	genus
Treponema	genus
Trichlorobacter	genus
Trichococcus	genus
Tropheryma	genus
Truepera	genus
Trueperaceae	family
Tsukamurella	genus
Tsukamurellaceae	family
Tuberibacillus	genus
Turicella	genus
Turicibacter	genus
Turneriella	genus
Ulvibacter	genus
Ureaplasma	genus
Ureibacillus	genus
Uruburuella	genus
Vagococcus	genus
Varibaculum	genus
Variovorax	genus
Veillonella	genus
Veillonellaceae	family
Verrucomicrobia	phylum
Verrucomicrobiaceae	family
Verrucomicrobiaceae_genera_incertae_sedis	genus
Verrucomicrobiae	class
Verrucomicrobiales	order
Verrucomicrobium	genus
Verrucosispora	genus
Vibrio	genus
Vibrionaceae	family
Vibrionales	order
Victivallaceae	family
Victivallales	order
Victivallis	genus
Virgibacillus	genus
Virgisporangium	genus
Vitellibacter	genus
Vitreoscilla	genus
Vogesella	genus
Volucribacter	genus
Vulcanisaeta	genus
Vulcanithermus	genus
WS3	phylum
WS3_genera_incertae_sedis	genus
Waddlia	genus
Waddliaceae	family
Wautersia	genus
Weeksella	genus
Weissella	genus
Williamsia	genus
Williamsiaceae	family
Winogradskyella	genus
Wolbachia	genus
Wolinella	genus
Woodsholea	genus
Xanthobacter	genus
Xanthomonadaceae	family
Xanthomonadales	order
Xanthomonas	genus
Xenohaliotis	genus
Xenophilus	genus
Xenorhabdus	genus
Xiphinematobacter	genus
Xiphinematobacteriaceae	family
Xiphinematobacteriaceae_genera_incertae_sedis	genus
Xylanibacter	genus
Xylanibacterium	genus
Xylanimicrobium	genus
Xylanimonas	genus
Xylella	genus
Xylophilus	genus
Yangia	genus
Yania	genus
Yeosuana	genus
Yersinia	genus
Zimmermannella	genus
Zobellella	genus
Zobellia	genus
Zoogloea	genus
Zooshikella	genus
Zymobacter	genus
Zymomonas	genus
Zymophilus	genus
